stock_code,description,total_units_sold,total_revenue
20728,LUNCH BAG CARS BLUE,22436,35395.08
20713,JUMBO BAG OWLS,19580,35373.64
21485,RETROSPOT HEART HOT WATER BOTTLE,7523,35366.13
84029E,RED WOOLLY HOTTIE WHITE HEART.,10261,35113.37
48185,DOORMAT FAIRY CAKE,5740,35022.2
85066,CREAM SWEETHEART MINI CHEST,2888,34615.83
22083,PAPER CHAIN KIT RETROSPOT,12596,34550.86
23284,DOORMAT KEEP CALM AND COME IN,5117,34312.6
22960,JAM MAKING SET WITH JARS,8458,33808.97
21524,DOORMAT SPOTTY HOME SWEET HOME,5123,33609.26
84997B,CHILDRENS CUTLERY RETROSPOT RED ,8925,32889.05
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6864,32607.8
22188,BLACK HEART CARD HOLDER,12377,32359.79
22699,ROSES REGENCY TEACUP AND SAUCER ,11878,32352.7
22384,LUNCH BAG PINK POLKADOT,20210,32248.3
21755,LOVE BUILDING BLOCK WORD,5443,32033.61
20726,LUNCH BAG WOODLAND,20100,31835.16
22727,ALARM CLOCK BAKELIKE RED ,8761,31636.84
84997C,CHILDRENS CUTLERY POLKADOT BLUE,8506,31453.94
22382,LUNCH BAG SPACEBOY DESIGN ,19426,31098.7
84078A,SET/4 WHITE RETRO STORAGE CUBES ,860,31072.0
85152,HAND OVER THE CHOCOLATE   SIGN ,16303,30946.54
22630,DOLLY GIRL LUNCH BOX,17358,30859.84
48184,DOORMAT ENGLISH ROSE ,4641,29906.39
22385,JUMBO BAG SPACEBOY DESIGN,16131,29371.13
85014B,RED RETROSPOT UMBRELLA,6037,29350.32
22622,BOX OF VINTAGE ALPHABET BLOCKS,3058,29172.21
22865,HAND WARMER OWL DESIGN,14450,29070.38
20712,JUMBO BAG WOODLAND ANIMALS,15678,29056.89
20679,EDWARDIAN PARASOL RED,6116,29033.57
47590B,PINK HAPPY BIRTHDAY BUNTING,5634,28500.9
22379,RECYCLING BAG RETROSPOT ,14440,28248.13
15036,ASSORTED COLOURS SILK FAN,40161,28194.29
22492,MINI PAINT SET VINTAGE ,44528,27652.44
22659,LUNCH BOX I LOVE LONDON,15706,27540.22
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4711,27445.37
22077,6 RIBBONS RUSTIC CHARM,16160,27252.74
22666,RECIPE BOX PANTRY YELLOW DESIGN,9570,27148.82
48188,DOORMAT WELCOME PUPPIES,4764,27042.7
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55051,26616.15
20750,RED RETROSPOT MINI CASES,3674,26437.18
72741,GRAND CHOCOLATECANDLE,19665,26419.65
22467,GUMBALL COAT RACK,11559,26388.53
22752,SET 7 BABUSHKA NESTING BOXES,3354,26253.39
23245,SET OF 3 REGENCY CAKE TINS,5766,26204.18
84991,60 TEATIME FAIRY CAKE CASES,53169,25946.82
22726,ALARM CLOCK BAKELIKE GREEN,6921,25678.96
21217,RED RETROSPOT ROUND CAKE TINS,2674,25365.3
23199,JUMBO BAG APPLES,13164,25142.01
22866,HAND WARMER SCOTTY DOG DESIGN,12431,25017.06
82600,N0 SINGING METAL SIGN,12566,24950.54
22867,HAND WARMER BIRD DESIGN,12376,24898.93
71459,HANGING JAM JAR T-LIGHT HOLDERS,31917,24849.48
22624,IVORY KITCHEN SCALES,2986,24701.88
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,107489,24551.15
23355,HOT WATER BOTTLE KEEP CALM,5290,24207.9
22697,GREEN REGENCY TEACUP AND SAUCER,8727,24133.69
22507,MEMO BOARD RETROSPOT  DESIGN,5412,23867.22
84836,ZINC METAL HEART DECORATION,19613,23687.68
48111,DOORMAT 3 SMILEY CATS,4090,23626.74
22158,3 HEARTS HANGING DECORATION RUSTIC,8340,23478.76
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,38921,23437.31
22149,check,11709,23411.79
37503,TEA TIME CAKE STAND IN GIFT BOX,2337,23312.35
22551,PLASTERS IN TIN SPACEBOY,14664,23301.0
21930,JUMBO STORAGE BAG SKULLS,12538,23221.4
82583,HOT BATHS METAL SIGN,11871,23186.13
23201,JUMBO BAG ALPHABET,11946,23098.98
47590A,BLUE HAPPY BIRTHDAY BUNTING,4569,23017.87
22961,JAM MAKING SET PRINTED,16273,22971.85
22084,PAPER CHAIN KIT EMPIRE,8371,22883.25
48173C,DOORMAT BLACK FLOCK ,4053,22687.66
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,29561,22657.33
23173,REGENCY TEAPOT ROSES ,2614,22636.92
20972,PINK CREAM FELT CRAFT TRINKET BOX ,18804,22555.38
21527,RED RETROSPOT TRADITIONAL TEAPOT ,3128,22278.64
22113,GREY HEART HOT WATER BOTTLE,5877,21910.82
84978,HANGING HEART JAR T-LIGHT HOLDER,18855,21903.34
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6013,21837.51
22632,HAND WARMER RED RETROSPOT,11002,21822.92
21231,SWEETHEART CERAMIC TRINKET BOX,18452,21763.07
20749,ASSORTED COLOUR MINI CASES,3047,21729.09
22728,ALARM CLOCK BAKELIKE PINK,5914,21673.73
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4548,21598.18
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8828,21427.78
85014A,BLACK/BLUE POLKADOT UMBRELLA,4598,21365.09
84406B,CREAM CUPID HEARTS COAT HANGER,6708,21300.8
21955,DOORMAT UNION JACK GUNS AND ROSES,3716,21104.92
22556,PLASTERS IN TIN CIRCUS PARADE ,13198,21092.06
22607,WOODEN ROUNDERS GARDEN SET ,2412,21052.22
22087,PAPER BUNTING WHITE LACE,7647,21030.25
22605,WOODEN CROQUET GARDEN SET,1711,20845.76
22969,HOMEMADE JAM SCENTED CANDLES,14448,20835.0
23209,LUNCH BAG VINTAGE DOILY ,12964,20751.76
22835,HOT WATER BOTTLE I AM SO POORLY,4467,20725.83
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2899,20684.92
22554,PLASTERS IN TIN WOODLAND ANIMALS,12912,20636.08
21481,FAWN BLUE HOT WATER BOTTLE,7030,20592.3
21210,SET OF 72 RETROSPOT PAPER  DOILIES,14695,20546.32
23202,JUMBO BAG VINTAGE LEAF,10474,20521.47
20711,JUMBO BAG TOYS ,11431,20462.32
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5342,20412.0
22585,PACK OF 6 BIRDY GIFT TAGS,17157,20411.97
20724,RED RETROSPOT CHARLOTTE BAG,25678,20405.92
21790,VINTAGE SNAP CARDS,25562,20296.12
22698,PINK REGENCY TEACUP AND SAUCER,7364,20203.04
22294,HEART FILIGREE DOVE  SMALL,16615,20130.35
21936,RED RETROSPOT PICNIC BAG,7260,20104.66
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25642,20007.82
47566B,TEA TIME PARTY BUNTING,4011,19923.8
20971,PINK BLUE FELT CRAFT TRINKET BOX,16992,19862.61
22941,CHRISTMAS LIGHTS 10 REINDEER,2492,19652.1
22625,RED KITCHEN SCALES,2420,19627.33
22617,BAKING SET SPACEBOY DESIGN,4059,19182.61
85150,LADIES & GENTLEMEN METAL SIGN,8198,19155.33
21791,VINTAGE HEADS AND TAILS CARD GAME ,16066,19048.28
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,5146,19032.2
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13790,18916.18
48116,DOORMAT MULTICOLOUR STRIPE,3313,18835.0
48129,DOORMAT TOPIARY,3066,18745.98
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17194,18738.98
22633,HAND WARMER UNION JACK,9296,18715.56
22413,METAL SIGN TAKE IT OR LEAVE IT ,6747,18705.37
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,7887,18640.34
22568,FELTCRAFT CUSHION OWL,5155,18635.14
21314,SMALL GLASS HEART TRINKET POT,9372,18600.76
22555,PLASTERS IN TIN STRONGMAN,11585,18531.29
21622,VINTAGE UNION JACK CUSHION COVER,3519,18505.37
21213,PACK OF 72 SKULL CAKE CASES,38838,18468.18
22570,FELTCRAFT CUSHION RABBIT,5154,18428.33
22569,FELTCRAFT CUSHION BUTTERFLY,5209,18416.05
21121,SET/10 RED POLKADOT PARTY CANDLES,15319,18364.43
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2488,18359.6
21908,CHOCOLATE THIS WAY METAL SIGN,9538,18327.44
37449,CERAMIC CAKE STAND + HANGING CAKES,2055,18287.18
22499,WOODEN UNION JACK BUNTING,3170,18281.03
23206,LUNCH BAG APPLE DESIGN,11507,18182.75
21174,POTTERING IN THE SHED METAL SIGN,9334,17970.02
22501,PICNIC BASKET WICKER LARGE,1936,17756.65
84949,SILVER HANGING T-LIGHT HOLDER,11440,17701.8
21479,WHITE SKULL HOT WATER BOTTLE ,4734,17642.02
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1669,17565.96
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15305,17497.21
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21979,17485.15
22561,WOODEN SCHOOL COLOURING SET,10870,17450.82
22427,ENAMEL FLOWER JUG CREAM,3023,17382.03
22456,NATURAL SLATE CHALKBOARD LARGE ,3947,17308.91
22381,TOY TIDY PINK POLKADOT,8808,17260.43
23344,JUMBO BAG 50'S CHRISTMAS ,8692,17192.76
22560,TRADITIONAL MODELLING CLAY,14598,17087.94
47591D,PINK FAIRY CAKE CHILDRENS APRON,9273,16934.07
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9463,16920.15
21136,PAINTED METAL PEARS ASSORTED,10185,16840.09
22505,MEMO BOARD COTTAGE DESIGN,3631,16728.59
22847,BREAD BIN DINER STYLE IVORY,1069,16588.79
22147,FELTCRAFT BUTTERFLY HEARTS,12026,16546.5
22061,LARGE CAKE STAND  HANGING STRAWBERY,1989,16465.1
21156,RETROSPOT CHILDRENS APRON,9049,16352.47
84992,72 SWEETHEART FAIRY CAKE CASES,34131,16299.89
22169,FAMILY ALBUM WHITE PICTURE FRAME,2046,16290.19
23240,SET OF 4 KNICK KNACK TINS DOILY ,4053,16225.55
21218,RED SPOTTY BISCUIT TIN,4655,16225.45
22837,HOT WATER BOTTLE BABUSHKA ,3621,16219.25
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",3520,16130.42
21164,HOME SWEET HOME METAL SIGN ,5890,16038.94
71053,WHITE MOROCCAN METAL LANTERN,4502,16012.84
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6715,15947.59
22273,FELTCRAFT DOLL MOLLY,5786,15908.78
22557,PLASTERS IN TIN VINTAGE PAISLEY ,9987,15878.59
22297,HEART IVORY TRELLIS SMALL,12907,15796.59
21535,RED RETROSPOT SMALL MILK JUG,6521,15728.1
22041,"RECORD FRAME 7"" SINGLE SIZE ",7120,15685.17
22355,CHARLOTTE BAG SUKI DESIGN,19634,15623.76
22296,HEART IVORY TRELLIS LARGE,9658,15617.38
22900,SET 2 TEA TOWELS I LOVE LONDON ,5435,15585.45
21035,SET/2 RED RETROSPOT TEA TOWELS ,5405,15556.51
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16621,15409.01
22424,ENAMEL BREAD BIN CREAM,1281,15393.8
22662,LUNCH BAG DOLLY GIRL DESIGN,9760,15379.44
22690,DOORMAT HOME SWEET HOME BLUE ,2505,15376.21
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1651,15366.95
22652,TRAVEL SEWING KIT,9527,15146.91
21533,RETROSPOT LARGE MILK JUG,3202,15142.3
21122,SET/10 PINK POLKADOT PARTY CANDLES,12559,15134.52
20719,WOODLAND CHARLOTTE BAG,19153,15128.77
22952,60 CAKE CASES VINTAGE CHRISTMAS,30212,15097.16
84375,SET OF 20 KIDS COOKIE CUTTERS,7524,15088.17
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4234,14988.18
21914,BLUE HARMONICA IN BOX ,12015,14898.72
22193,RED DINER WALL CLOCK,1822,14887.49
21975,PACK OF 60 DINOSAUR CAKE CASES,30986,14878.75
22366,DOORMAT AIRMAIL ,2361,14870.71
21889,WOODEN BOX OF DOMINOES,12038,14683.37
82582,AREA PATROLLED METAL SIGN,7366,14634.62
21891,TRADITIONAL WOODEN SKIPPING ROPE,11743,14631.21
17003,BROCADE RING PURSE ,70390,14612.35
21484,CHICK GREY HOT WATER BOTTLE,4211,14493.57
22634,CHILDS BREAKFAST SET SPACEBOY ,1570,14471.65
21258,VICTORIAN SEWING BOX LARGE,1235,14471.33
22619,SET OF 6 SOLDIER SKITTLES,3987,14465.8
20718,RED RETROSPOT SHOPPER BAG,12289,14402.52
21877,HOME SWEET HOME MUG,12901,14387.29
22367,CHILDRENS APRON SPACEBOY DESIGN,7727,14343.39
21844,RED RETROSPOT MUG,5196,14332.6
35004C,SET OF 3 COLOURED  FLYING DUCKS,3010,14315.7
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2254,14313.0
22759,check,8952,14290.2
21165,BEWARE OF THE CAT METAL SIGN ,9103,14112.55
22993,SET OF 4 PANTRY JELLY MOULDS,11724,14095.17
84050,check,10139,14055.43
22940,FELTCRAFT CHRISTMAS FAIRY,3411,14038.43
22635,CHILDS BREAKFAST SET DOLLY GIRL ,1507,14002.85
22776,SWEETHEART 3 TIER CAKE STAND ,1476,13942.35
22365,DOORMAT RESPECTABLE HOUSE,2243,13925.75
84378,SET OF 3 HEART COOKIE CUTTERS,11030,13891.78
21770,OPEN CLOSED METAL SIGN,2853,13739.16
22487,WHITE WOOD GARDEN PLANT LADDER,1458,13705.11
22295,HEART FILIGREE DOVE LARGE,8422,13618.02
21169,YOU'RE CONFUSING ME METAL SIGN ,8686,13514.14
22606,WOODEN SKITTLES GARDEN SET,998,13451.54
22667,RECIPE BOX RETROSPOT ,4810,13439.9
22730,ALARM CLOCK BAKELIKE IVORY,3563,13371.5
22191,IVORY DINER WALL CLOCK,1619,13366.25
22333,RETROSPOT PARTY BAG + STICKER SET,8624,13317.68
23356,LOVE HOT WATER BOTTLE,2343,13061.85
22356,CHARLOTTE BAG PINK POLKADOT,16129,12967.35
47556B,TEA TIME TEA TOWELS ,4986,12963.7
21094,SET/6 RED SPOTTY PAPER PLATES,17516,12959.94
23313,VINTAGE CHRISTMAS BUNTING,2742,12930.42
21259,VICTORIAN SEWING BOX SMALL ,2260,12896.51
21390,FILIGRIS HEART WITH BUTTERFLY,10659,12895.39
15044A,PINK PAPER PARASOL ,4897,12813.43
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3515,12812.83
23200,JUMBO BAG PEARS,6599,12799.61
35970,ZINC FOLKART SLEIGH BELLS,7824,12762.84
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4498,12759.12
22150,3 STRIPEY MICE FELTCRAFT,7003,12753.25
22621,TRADITIONAL KNITTING NANCY,8316,12719.12
22636,CHILDS BREAKFAST SET CIRCUS PARADE,1563,12690.88
23108,SET OF 10 LED DOLLY LIGHTS,2130,12667.63
22271,FELTCRAFT DOLL ROSIE,4532,12657.46
85232B,SET OF 3 BABUSHKA STACKING TINS,2631,12546.05
C2,CARRIAGE,248,12521.0
22692,DOORMAT WELCOME TO OUR HOME,1794,12455.26
62018,SOMBRERO ,9551,12419.65
22766,PHOTO FRAME CORNICE,4292,12415.88
22627,MINT KITCHEN SCALES,1495,12391.78
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10315,12384.07
21704,BAG 250g SWIRLY MARBLES,16236,12326.01
23301,GARDENERS KNEELING PAD KEEP CALM ,7626,12324.58
22946,WOODEN ADVENT CALENDAR CREAM,850,12316.8
21380,WOODEN HAPPY BIRTHDAY GARLAND,4320,12242.2
21669,BLUE STRIPE CERAMIC DRAWER KNOB,9967,12191.49
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15402,12191.34
22553,PLASTERS IN TIN SKULLS,7537,12161.25
22485,SET OF 2 WOODEN MARKET CRATES,990,12082.5
21124,SET/10 BLUE POLKADOT PARTY CANDLES,9977,12069.97
21539,RED RETROSPOT BUTTER DISH,2566,12058.69
21912,VINTAGE SNAKES & LADDERS,3359,12052.97
22236,CAKE STAND 3 TIER MAGIC GARDEN,993,11987.55
22584,PACK OF 6 PANETTONE GIFT BOXES,4885,11974.19
22846,BREAD BIN DINER STYLE RED ,778,11964.76
22804,PINK HANGING HEART T-LIGHT HOLDER,4517,11949.83
DOT,DOTCOM POSTAGE,16,11906.36
22654,DELUXE SEWING KIT ,2096,11878.72
22303,COFFEE MUG APPLES DESIGN,5184,11876.65
21871,SAVE THE PLANET MUG,10482,11848.74
21155,RED RETROSPOT PEG BAG,5609,11819.58
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24600,11717.52
21888,BINGO SET,3176,11716.2
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,9454,11668.91
22179,SET 10 NIGHT OWL LIGHTS,1811,11655.59
20723,STRAWBERRY CHARLOTTE BAG,14467,11592.22
23077,DOUGHNUT LIP GLOSS ,9602,11565.7
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,8781,11534.26
22082,RIBBON REEL STRIPES DESIGN ,7088,11513.28
21668,RED STRIPE CERAMIC DRAWER KNOB,9409,11475.58
22750,FELTCRAFT PRINCESS LOLA DOLL,3136,11458.26
47567B,TEA TIME KITCHEN APRON,2147,11435.67
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,7525,11432.25
22464,HANGING METAL HEART LANTERN,7301,11413.15
75049L,LARGE CIRCULAR MIRROR MOBILE,12687,11394.75
23207,LUNCH BAG ALPHABET DESIGN,7106,11369.46
85042,ANTIQUE LILY FAIRY LIGHTS,2509,11328.55
22192,BLUE DINER WALL CLOCK,1358,11242.33
23174,REGENCY SUGAR BOWL GREEN,2868,11230.34
22207,FRYING PAN UNION FLAG,2835,11198.61
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2428,11189.58
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,9287,11154.03
22444,GROW YOUR OWN PLANT IN A CAN ,9089,11119.57
15056P,EDWARDIAN PARASOL PINK,2179,11050.16
20676,RED RETROSPOT BOWL,9453,11036.32
79323W,"Unsaleable, destroyed.",1865,10997.45
21787,RAIN PONCHO RETROSPOT,14224,10994.08
22623,BOX OF VINTAGE JIGSAW BLOCKS ,2156,10974.37
22301,COFFEE MUG CAT + BIRD DESIGN,4786,10968.24
21498,RED RETROSPOT WRAP ,27047,10966.74
21906,PHARMACIE FIRST AID TIN,1623,10965.65
84987,SET OF 36 TEATIME PAPER DOILIES,7773,10931.13
22834,HAND WARMER BABUSHKA DESIGN,6926,10928.88
22088,PAPER BUNTING COLOURED LACE,3972,10915.4
22198,LARGE POPCORN HOLDER ,6862,10850.1
22631,CIRCUS PARADE LUNCH BOX ,5886,10821.08
22616,PACK OF 12 LONDON TISSUES ,38012,10787.58
84988,SET OF 72 PINK HEART PAPER DOILIES,7616,10761.38
47599A,PINK PARTY BAGS,5796,10757.92
21260,FIRST AID TIN,3388,10735.1
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,2763,10731.05
22988,SOLDIERS EGG CUP ,9277,10727.44
22151,PLACE SETTING WHITE HEART,26501,10716.87
21671,RED SPOT CERAMIC DRAWER KNOB,8857,10645.16
21326,AGED GLASS SILVER T-LIGHT HOLDER,17476,10631.0
22740,adjustment,12887,10623.23
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,5585,10623.14
20975,12 PENCILS SMALL TUBE RED RETROSPOT,16534,10593.9
22655,VINTAGE RED KITCHEN CABINET,64,10524.5
22637,PIGGY BANK RETROSPOT ,4333,10521.32
22729,ALARM CLOCK BAKELIKE ORANGE,2852,10507.05
22417,PACK OF 60 SPACEBOY CAKE CASES,20935,10487.29
22649,STRAWBERRY FAIRY CAKE TEAPOT,2180,10467.6
21907,I'M ON HOLIDAY METAL SIGN,5069,10460.05
21937,STRAWBERRY   PICNIC BAG,3762,10459.9
22950,36 DOILIES VINTAGE CHRISTMAS,7603,10414.75
21172,PARTY METAL SIGN ,7440,10387.72
20969,RED FLORAL FELTCRAFT SHOULDER BAG,2849,10355.34
22508,DOORSTOP RETROSPOT HEART,2711,10343.5
21242,RED RETROSPOT PLATE ,6462,10304.46
22791,T-LIGHT GLASS FLUTED ANTIQUE,8963,10304.34
21868,POTTING SHED TEA MUG,8727,10294.79
22768,FAMILY PHOTO FRAME CORNICE,1112,10293.19
22109,FULL ENGLISH BREAKFAST PLATE,2863,10292.13
22488,NATURAL SLATE RECTANGLE CHALKBOARD,6447,10275.71
22838,3 TIER CAKE TIN RED AND CREAM,745,10198.53
22274,FELTCRAFT DOLL EMILY,3654,10184.56
22663,JUMBO BAG DOLLY GIRL DESIGN,5355,10183.51
22468,BABUSHKA LIGHTS STRING OF 10,1610,10133.84
21429,RED GINGHAM ROSE JEWELLERY BOX,6061,10120.05
22418,10 COLOUR SPACEBOY PEN,12096,10051.5
20828,GLITTER BUTTERFLY CLIPS,4245,10014.75
21670,BLUE SPOT CERAMIC DRAWER KNOB,8132,9978.48
21833,CAMOUFLAGE LED TORCH,6047,9976.15
35400,WOODEN BOX ADVENT CALENDAR ,1153,9975.4
22595,GINGHAM HEART DECORATION,12232,9968.98
22302,COFFEE MUG PEARS  DESIGN,4778,9966.91
21624,VINTAGE UNION JACK DOORSTOP,1697,9930.63
21982,PACK OF 12 SUKI TISSUES ,32013,9930.57
22620,4 TRADITIONAL SPINNING TOPS,7688,9925.53
22580,ADVENT CALENDAR GINGHAM SACK,1699,9899.73
23208,LUNCH BAG VINTAGE LEAF DESIGN,6152,9896.6
22466,FAIRY TALE COTTAGE NIGHT LIGHT,5616,9863.1
82001S,SILVER RECORD COVER FRAME,2838,9839.14
16014,SMALL CHINESE STYLE SCISSOR,30369,9838.98
22966,GINGERBREAD MAN COOKIE CUTTER,8215,9834.16
23300,GARDENERS KNEELING PAD CUP OF TEA ,6151,9731.79
22795,SWEETHEART RECIPE BOOK STAND,1496,9698.3
22968,ROSE COTTAGE KEEPSAKE BOX ,1065,9673.1
22348,TEA BAG PLATE RED RETROSPOT,11884,9654.46
23076,ICE CREAM SUNDAE LIP GLOSS,7892,9633.16
22970,LONDON BUS COFFEE MUG,4230,9632.7
22840,ROUND CAKE TIN VINTAGE RED,1288,9601.88
21257,VICTORIAN SEWING BOX MEDIUM,1267,9559.84
84880,WHITE WIRE EGG HOLDER,1732,9550.15
21922,UNION STRIPE WITH FRINGE  HAMMOCK,1259,9481.09
21756,BATH BUILDING BLOCK WORD,1593,9466.18
21890,S/6 WOODEN SKITTLES IN COTTON BAG,3336,9465.06
20754,RETROSPOT RED WASHING UP GLOVES,4833,9370.02
21531,RED RETROSPOT SUGAR JAM BOWL,3911,9288.15
21086,SET/6 RED SPOTTY PAPER CUPS,15278,9244.06
23343,JUMBO BAG VINTAGE CHRISTMAS ,4637,9242.66
22064,PINK DOUGHNUT TRINKET POT ,6166,9227.9
22120,WELCOME  WOODEN BLOCK LETTERS,959,9211.05
82552,WASHROOM METAL SIGN,6829,9201.16
84792,ENCHANTED BIRD COATHANGER 5 HOOK,2159,9181.43
21974,SET OF 36 PAISLEY FLOWER DOILIES,6515,9177.86
79323P,"Unsaleable, destroyed.",1541,9176.75
22694,WICKER STAR ,4441,9173.1
23170,REGENCY TEA PLATE ROSES ,5857,9144.49
22300,COFFEE MUG DOG + BALL DESIGN,3962,9120.84
20682,RED RETROSPOT CHILDRENS UMBRELLA,2881,9105.41
21558,SKULL LUNCH BOX WITH CUTLERY ,3807,9094.95
22668,PINK BABY BUNTING,3234,9091.66
