customer_id,country,total_revenue,total_orders,avg_order_value
14735,United Kingdom,11909.71,59,201.86
13687,United Kingdom,11880.84,1,11880.84
17044,United Kingdom,11867.6,16,741.73
13458,United Kingdom,11850.62,24,493.78
16258,United Kingdom,11833.52,16,739.6
13050,United Kingdom,11822.44,57,207.41
16523,United Kingdom,11760.54,39,301.55
18226,United Kingdom,11748.58,38,309.17
15555,United Kingdom,11744.08,46,255.31
14505,United Kingdom,11718.8,27,434.03
17364,United Kingdom,11684.55,31,376.92
12705,Germany,11554.0,22,525.18
13576,United Kingdom,11516.15,32,359.88
15218,United Kingdom,11456.0,25,458.24
13102,United Kingdom,11440.12,42,272.38
12668,Germany,11380.71,12,948.39
14016,EIRE,11379.71,13,875.36
18055,United Kingdom,11163.52,15,744.23
13004,United Kingdom,11143.99,46,242.26
15874,United Kingdom,11135.0,25,445.4
14134,United Kingdom,11123.35,15,741.56
14426,United Kingdom,11103.97,27,411.26
12524,Germany,11091.36,18,616.19
18052,United Kingdom,10877.18,1,10877.18
13941,United Kingdom,10846.15,17,638.01
18229,United Kingdom,10803.71,28,385.85
12431,Australia,10719.41,33,324.83
16327,United Kingdom,10705.52,20,535.28
16033,United Kingdom,10692.39,36,297.01
14796,United Kingdom,10691.12,39,274.13
16984,United Kingdom,10599.42,19,557.86
15694,United Kingdom,10566.46,29,364.36
16985,United Kingdom,10545.76,26,405.61
16168,United Kingdom,10539.08,73,144.37
17809,United Kingdom,10498.85,24,437.45
13324,United Kingdom,10421.37,23,453.1
15290,United Kingdom,10355.58,30,345.19
16782,United Kingdom,10348.96,50,206.98
15296,United Kingdom,10223.93,20,511.2
17160,United Kingdom,10201.36,18,566.74
14422,United Kingdom,10200.92,21,485.76
17448,United Kingdom,10192.73,54,188.75
15547,United Kingdom,10140.89,28,362.17
15719,United Kingdom,10134.36,39,259.86
14085,United Kingdom,10092.22,34,296.83
12766,Portugal,10026.43,11,911.49
16353,United Kingdom,9985.93,41,243.56
13985,United Kingdom,9982.31,24,415.93
16182,United Kingdom,9971.65,9,1107.96
14101,United Kingdom,9942.13,14,710.15
12839,United Kingdom,9927.83,31,320.25
13680,United Kingdom,9915.56,13,762.74
16131,United Kingdom,9866.27,15,657.75
12590,Germany,9853.48,5,1970.7
14755,United Kingdom,9851.45,30,328.38
12490,France,9818.64,22,446.3
14828,United Kingdom,9803.46,14,700.25
13599,United Kingdom,9790.34,52,188.28
12758,Portugal,9779.0,8,1222.38
18109,United Kingdom,9754.66,45,216.77
18260,United Kingdom,9751.95,32,304.75
17306,United Kingdom,9751.77,23,423.99
13018,United Kingdom,9742.81,37,263.32
13327,United Kingdom,9741.03,22,442.77
14329,United Kingdom,9735.52,28,347.7
15805,United Kingdom,9708.92,40,242.72
17230,United Kingdom,9695.91,23,421.56
14944,United Kingdom,9674.92,24,403.12
14045,United Kingdom,9660.63,19,508.45
16701,United Kingdom,9614.59,34,282.78
14135,United Kingdom,9605.05,25,384.2
17049,United Kingdom,9593.78,25,383.75
17315,United Kingdom,9558.55,49,195.07
14091,United Kingdom,9530.08,2,4765.04
13267,United Kingdom,9512.21,50,190.24
14060,United Kingdom,9503.14,32,296.97
12539,Spain,9498.9,8,1187.36
13174,United Kingdom,9494.84,12,791.24
13735,United Kingdom,9472.81,22,430.58
17811,United Kingdom,9448.53,60,157.48
15727,United Kingdom,9445.51,15,629.7
14439,Greece,9443.04,5,1888.61
13999,United Kingdom,9438.01,36,262.17
17757,United Kingdom,9342.84,60,155.71
17504,United Kingdom,9313.37,19,490.18
15981,United Kingdom,9268.07,27,343.26
13758,United Kingdom,9263.14,19,487.53
15570,United Kingdom,9246.99,27,342.48
16550,United Kingdom,9169.32,29,316.18
14367,United Kingdom,9167.82,19,482.52
12747,United Kingdom,9164.59,32,286.39
13756,United Kingdom,9147.2,25,365.89
15249,United Kingdom,9147.15,21,435.58
17068,United Kingdom,9126.43,49,186.25
13162,United Kingdom,9116.94,19,479.84
15260,United Kingdom,9098.38,30,303.28
16709,United Kingdom,9087.46,14,649.1
16700,United Kingdom,9084.06,31,293.03
15939,United Kingdom,9047.64,17,532.21
15150,United Kingdom,8990.58,14,642.18
16186,United Kingdom,8983.91,30,299.46
15867,United Kingdom,8974.85,35,256.42
16722,United Kingdom,8967.83,26,344.92
13555,United Kingdom,8906.34,16,556.65
14292,United Kingdom,8887.9,27,329.18
17576,United Kingdom,8885.66,45,197.46
14709,United Kingdom,8866.48,27,328.39
13269,United Kingdom,8861.39,30,295.38
15903,United Kingdom,8859.82,15,590.65
16532,United Kingdom,8756.64,5,1751.33
13069,United Kingdom,8747.47,42,208.27
12359,Cyprus,8714.89,14,622.49
13263,United Kingdom,8704.69,39,223.2
15502,United Kingdom,8673.53,27,321.24
15984,United Kingdom,8671.12,32,270.97
18041,United Kingdom,8669.65,40,216.74
15497,United Kingdom,8643.46,11,785.77
12957,United Kingdom,8628.42,21,410.88
15955,United Kingdom,8622.61,25,344.9
16945,United Kingdom,8530.66,35,243.73
17396,United Kingdom,8529.6,16,533.1
12798,Japan,8510.93,4,2127.73
13047,United Kingdom,8466.72,42,201.59
13448,United Kingdom,8447.75,19,444.62
13715,United Kingdom,8438.34,21,401.83
13209,United Kingdom,8438.06,16,527.38
14160,United Kingdom,8421.47,7,1203.07
14286,United Kingdom,8396.7,12,699.73
18139,United Kingdom,8393.22,8,1049.15
15786,United Kingdom,8392.85,9,932.54
15298,United Kingdom,8356.03,29,288.14
14057,United Kingdom,8338.28,23,362.53
15281,United Kingdom,8317.62,22,378.07
17686,United Kingdom,8296.81,9,921.87
14676,United Kingdom,8285.49,16,517.84
15034,United Kingdom,8282.45,17,487.2
13206,United Kingdom,8280.13,15,552.01
12637,France,8271.66,14,590.83
15998,United Kingdom,8220.39,21,391.45
14146,United Kingdom,8208.87,13,631.45
17365,United Kingdom,8205.83,16,512.86
17611,United Kingdom,8205.38,35,234.44
13139,United Kingdom,8193.83,9,910.43
13381,United Kingdom,8185.02,15,545.67
14395,United Kingdom,8160.81,24,340.03
14030,United Kingdom,8145.59,22,370.25
15544,United Kingdom,8134.12,26,312.85
14525,United Kingdom,8129.81,21,387.13
14056,United Kingdom,8124.4,29,280.15
13148,United Kingdom,8123.6,36,225.66
13869,United Kingdom,8111.57,10,811.16
15482,United Kingdom,8107.83,24,337.83
16672,United Kingdom,8093.59,23,351.9
17017,United Kingdom,8087.41,41,197.25
13426,United Kingdom,8076.76,24,336.53
12720,Germany,8047.88,41,196.29
17593,United Kingdom,8044.0,15,536.27
16767,United Kingdom,7971.8,16,498.24
12380,Belgium,7888.0,15,525.87
12643,France,7880.9,14,562.92
12428,Finland,7877.2,12,656.43
12867,United Kingdom,7862.69,16,491.42
14282,United Kingdom,7844.66,26,301.72
14291,United Kingdom,7844.4,25,313.78
16303,United Kingdom,7823.72,9,869.3
13871,United Kingdom,7804.95,21,371.66
17409,United Kingdom,7793.51,10,779.35
16670,United Kingdom,7786.66,33,235.96
17238,United Kingdom,7783.1,32,243.22
17091,United Kingdom,7777.5,23,338.15
17085,United Kingdom,7757.41,32,242.42
17730,United Kingdom,7757.35,23,337.28
17739,United Kingdom,7718.14,20,385.91
13137,United Kingdom,7667.37,17,451.02
16592,United Kingdom,7624.46,34,224.25
16556,United Kingdom,7610.23,24,317.09
17426,United Kingdom,7606.37,17,447.43
13373,United Kingdom,7587.19,6,1264.53
15046,United Kingdom,7583.38,28,270.84
14159,United Kingdom,7571.88,25,302.88
15301,United Kingdom,7561.21,19,397.96
13141,United Kingdom,7536.63,21,358.89
13709,United Kingdom,7512.81,22,341.49
17690,United Kingdom,7438.6,21,354.22
12429,Denmark,7435.51,9,826.17
16242,United Kingdom,7433.3,18,412.96
15179,United Kingdom,7426.82,17,436.87
14800,United Kingdom,7415.59,23,322.42
12841,United Kingdom,7390.48,42,175.96
17696,United Kingdom,7380.89,48,153.77
14243,United Kingdom,7365.36,23,320.23
14175,United Kingdom,7350.44,17,432.38
17602,United Kingdom,7337.43,18,407.64
13534,United Kingdom,7324.5,60,122.08
15622,United Kingdom,7318.08,30,243.94
13815,Germany,7285.79,10,728.58
16253,United Kingdom,7276.91,9,808.55
13082,United Kingdom,7268.92,25,290.76
15299,United Kingdom,7243.62,15,482.91
14092,United Kingdom,7209.74,27,267.03
15270,United Kingdom,7193.99,31,232.06
14688,United Kingdom,7190.08,34,211.47
16745,United Kingdom,7170.7,18,398.37
14841,United Kingdom,7163.0,14,511.64
13451,United Kingdom,7119.97,13,547.69
17965,United Kingdom,7117.78,33,215.69
17231,United Kingdom,7091.07,35,202.6
16729,United Kingdom,7076.28,26,272.16
13183,United Kingdom,7010.88,18,389.49
13831,United Kingdom,7009.18,20,350.46
14145,United Kingdom,7006.05,8,875.76
17769,United Kingdom,6994.66,21,333.08
13983,United Kingdom,6993.41,30,233.11
12712,Germany,6979.66,28,249.27
12662,Germany,6949.17,22,315.87
15950,United Kingdom,6938.51,13,533.73
17975,United Kingdom,6927.68,26,266.45
16265,United Kingdom,6893.62,15,459.57
15129,United Kingdom,6860.18,23,298.27
18231,United Kingdom,6848.17,30,228.27
16570,United Kingdom,6841.82,31,220.7
16187,United Kingdom,6841.24,17,402.43
16170,United Kingdom,6813.67,25,272.55
12830,United Kingdom,6748.4,7,964.06
12417,Belgium,6708.21,27,248.45
14401,United Kingdom,6703.4,25,268.14
12913,United Kingdom,6700.86,13,515.45
14461,United Kingdom,6697.6,14,478.4
14702,United Kingdom,6695.72,32,209.24
16497,United Kingdom,6695.28,23,291.1
16145,United Kingdom,6693.6,29,230.81
15750,United Kingdom,6692.55,24,278.86
13993,United Kingdom,6690.36,24,278.77
14844,United Kingdom,6688.43,12,557.37
13520,Switzerland,6680.65,15,445.38
15521,United Kingdom,6674.44,24,278.1
18118,United Kingdom,6670.07,35,190.57
17001,United Kingdom,6640.8,19,349.52
13953,United Kingdom,6640.68,12,553.39
13384,United Kingdom,6635.09,15,442.34
17700,United Kingdom,6630.87,17,390.05
16401,United Kingdom,6628.99,39,169.97
13552,United Kingdom,6618.63,32,206.83
12613,Germany,6591.52,13,507.04
14388,United Kingdom,6589.3,20,329.47
17819,United Kingdom,6568.72,13,505.29
15321,United Kingdom,6560.65,18,364.48
15332,Lithuania,6553.74,6,1092.29
12836,United Kingdom,6546.47,17,385.09
15980,United Kingdom,6546.28,9,727.36
14440,United Kingdom,6526.83,15,435.12
14855,United Kingdom,6520.3,7,931.47
16655,United Kingdom,6513.27,14,465.23
14221,United Kingdom,6506.59,19,342.45
12823,United Kingdom,6501.5,18,361.19
18061,United Kingdom,6480.47,29,223.46
17419,United Kingdom,6474.92,20,323.75
13015,United Kingdom,6465.72,14,461.84
14766,United Kingdom,6431.98,14,459.43
15673,United Kingdom,6409.84,10,640.98
12779,Poland,6406.76,21,305.08
12755,Japan,6406.35,22,291.2
12626,Germany,6388.35,13,491.41
12356,Portugal,6373.68,6,1062.28
14562,United Kingdom,6363.85,30,212.13
12843,United Kingdom,6345.61,34,186.64
13883,United Kingdom,6342.74,26,243.95
16710,United Kingdom,6336.34,23,275.49
12749,United Kingdom,6328.49,16,395.53
14227,United Kingdom,6327.31,22,287.61
13394,United Kingdom,6323.88,24,263.5
14390,United Kingdom,6323.33,18,351.3
18094,United Kingdom,6322.62,15,421.51
12656,France,6320.78,12,526.73
13230,United Kingdom,6317.22,31,203.78
16717,United Kingdom,6309.96,20,315.5
13654,United Kingdom,6308.0,11,573.45
12484,Spain,6303.85,16,393.99
13590,United Kingdom,6298.29,21,299.92
14154,United Kingdom,6263.6,10,626.36
14004,United Kingdom,6258.45,11,568.95
13334,United Kingdom,6257.0,6,1042.83
16940,United Kingdom,6245.41,11,567.76
17838,United Kingdom,6239.55,15,415.97
18245,United Kingdom,6236.23,23,271.14
17873,United Kingdom,6229.56,20,311.48
15674,United Kingdom,6217.85,18,345.44
17799,United Kingdom,6216.74,23,270.29
13615,United Kingdom,6212.23,12,517.69
12497,Germany,6211.75,4,1552.94
16938,United Kingdom,6209.93,10,620.99
16456,United Kingdom,6185.41,14,441.82
14113,United Kingdom,6156.75,31,198.6
17669,United Kingdom,6142.35,10,614.24
14852,United Kingdom,6123.63,21,291.6
13935,United Kingdom,6116.92,3,2038.97
14180,United Kingdom,6110.75,42,145.49
17509,United Kingdom,6100.74,11,554.61
14907,United Kingdom,6094.69,23,264.99
13136,United Kingdom,6077.8,24,253.24
14530,United Kingdom,6077.15,19,319.85
12406,Denmark,6072.21,7,867.46
13317,United Kingdom,6068.53,31,195.76
17625,United Kingdom,6067.8,8,758.48
18178,United Kingdom,6054.49,15,403.63
12664,Finland,6052.04,12,504.34
14560,United Kingdom,6050.44,46,131.53
16954,United Kingdom,6037.33,21,287.49
12835,United Kingdom,6018.67,49,122.83
16103,United Kingdom,6002.76,27,222.32
13266,United Kingdom,5965.3,30,198.84
17491,United Kingdom,5964.12,18,331.34
14918,United Kingdom,5955.81,9,661.76
15372,United Kingdom,5954.42,10,595.44
14257,United Kingdom,5942.0,10,594.2
15755,United Kingdom,5936.95,20,296.85
16156,United Kingdom,5933.59,26,228.22
17685,United Kingdom,5928.17,14,423.44
12455,Spain,5879.95,10,588.0
14535,United Kingdom,5872.63,11,533.88
12500,Germany,5872.31,25,234.89
16011,United Kingdom,5867.01,30,195.57
17644,United Kingdom,5864.54,28,209.45
18065,United Kingdom,5836.88,32,182.4
15785,United Kingdom,5825.33,26,224.05
14210,United Kingdom,5814.32,21,276.87
17457,United Kingdom,5799.01,18,322.17
15581,United Kingdom,5797.78,43,134.83
17146,United Kingdom,5795.99,16,362.25
14534,United Kingdom,5786.42,38,152.27
13658,United Kingdom,5772.07,13,444.01
13769,United Kingdom,5766.63,29,198.85
14189,United Kingdom,5764.62,25,230.58
12910,United Kingdom,5747.02,14,410.5
17863,United Kingdom,5745.2,12,478.77
13771,United Kingdom,5726.07,10,572.61
17069,United Kingdom,5718.4,21,272.3
16458,United Kingdom,5715.34,30,190.51
16409,United Kingdom,5709.04,12,475.75
17672,United Kingdom,5707.08,9,634.12
14105,United Kingdom,5703.98,9,633.78
14099,United Kingdom,5700.51,22,259.11
16279,United Kingdom,5692.18,10,569.22
13870,United Kingdom,5689.84,18,316.1
13157,United Kingdom,5667.71,10,566.77
12727,France,5646.53,12,470.54
12347,Iceland,5633.32,8,704.17
17651,United Kingdom,5632.59,22,256.03
16735,United Kingdom,5632.01,22,256.0
16200,United Kingdom,5629.95,13,433.07
13722,United Kingdom,5629.16,11,511.74
14249,United Kingdom,5625.46,12,468.79
15485,United Kingdom,5624.51,8,703.06
16003,United Kingdom,5613.83,10,561.38
13842,United Kingdom,5604.96,19,295.0
15628,United Kingdom,5603.36,21,266.83
18145,United Kingdom,5600.09,12,466.67
13901,United Kingdom,5599.34,20,279.97
12633,Germany,5595.21,10,559.52
17059,United Kingdom,5584.83,10,558.48
15854,United Kingdom,5583.81,21,265.9
18075,United Kingdom,5579.91,31,180.0
17203,United Kingdom,5575.88,10,557.59
14572,United Kingdom,5573.28,15,371.55
15228,United Kingdom,5570.52,7,795.79
12615,France,5564.88,11,505.9
17092,United Kingdom,5563.31,14,397.38
15898,United Kingdom,5534.36,29,190.84
16316,United Kingdom,5533.31,19,291.23
14112,United Kingdom,5524.51,27,204.61
13593,United Kingdom,5475.21,16,342.2
16992,United Kingdom,5460.1,15,364.01
16393,United Kingdom,5456.5,30,181.88
16609,United Kingdom,5450.96,9,605.66
14732,United Kingdom,5447.52,24,226.98
12480,Germany,5435.1,8,679.39
17512,United Kingdom,5432.27,20,271.61
15514,United Kingdom,5422.28,20,271.11
12378,Switzerland,5416.32,2,2708.16
16008,United Kingdom,5384.13,15,358.94
16607,United Kingdom,5375.18,29,185.35
14626,United Kingdom,5374.77,15,358.32
13115,United Kingdom,5374.45,23,233.67
14713,United Kingdom,5372.47,25,214.9
17719,United Kingdom,5367.8,18,298.21
13362,United Kingdom,5357.57,10,535.76
15641,United Kingdom,5345.55,12,445.46
14459,United Kingdom,5339.14,3,1779.71
13975,United Kingdom,5327.29,14,380.52
17584,United Kingdom,5294.42,7,756.35
12362,Belgium,5284.58,14,377.47
14442,Channel Islands,5272.02,12,439.34
17204,United Kingdom,5263.69,15,350.91
17346,United Kingdom,5258.02,27,194.74
15394,United Kingdom,5251.4,13,403.95
13931,United Kingdom,5250.78,12,437.57
14081,United Kingdom,5250.05,16,328.13
13495,United Kingdom,5246.61,13,403.59
16931,United Kingdom,5233.62,23,227.55
13014,United Kingdom,5220.83,18,290.05
17084,United Kingdom,5199.72,4,1299.93
15152,United Kingdom,5197.97,18,288.78
15812,United Kingdom,5186.17,13,398.94
13763,United Kingdom,5181.99,6,863.67
17612,United Kingdom,5156.14,32,161.13
17157,United Kingdom,5139.45,20,256.97
14930,Channel Islands,5136.64,9,570.74
16904,United Kingdom,5132.37,21,244.4
15722,United Kingdom,5120.05,15,341.34
16308,United Kingdom,5120.0,7,731.43
12708,Germany,5118.16,30,170.61
15443,United Kingdom,5116.14,16,319.76
17061,United Kingdom,5116.13,12,426.34
13107,United Kingdom,5109.62,15,340.64
17519,United Kingdom,5102.8,17,300.16
12625,Germany,5095.38,5,1019.08
15529,United Kingdom,5084.5,13,391.12
18198,United Kingdom,5083.06,21,242.05
17663,United Kingdom,5081.04,23,220.91
17213,United Kingdom,5078.93,20,253.95
17861,United Kingdom,5064.59,22,230.21
14307,United Kingdom,5063.08,11,460.28
12432,Norway,5059.32,5,1011.86
18144,United Kingdom,5058.0,19,266.21
16919,United Kingdom,5053.81,28,180.49
16686,United Kingdom,5051.57,18,280.64
17402,United Kingdom,5047.08,26,194.12
12395,Belgium,5046.92,18,280.38
12594,Italy,5044.51,17,296.74
15527,United Kingdom,5041.78,31,162.64
16153,United Kingdom,5037.51,13,387.5
17567,United Kingdom,5037.11,11,457.92
14493,United Kingdom,5036.05,14,359.72
12759,Netherlands,5020.74,8,627.59
15796,United Kingdom,5019.95,22,228.18
17758,United Kingdom,5012.53,12,417.71
15367,United Kingdom,5005.73,13,385.06
12444,Norway,5005.46,5,1001.09
16905,United Kingdom,5004.5,20,250.23
14546,United Kingdom,5001.03,20,250.05
13329,United Kingdom,4977.02,14,355.5
12562,France,4966.92,9,551.88
17469,United Kingdom,4958.34,22,225.38
12600,Germany,4955.79,26,190.61
14639,United Kingdom,4946.81,11,449.71
14209,United Kingdom,4937.37,19,259.86
17449,United Kingdom,4935.15,14,352.51
15971,United Kingdom,4930.43,20,246.52
17802,United Kingdom,4915.84,16,307.24
13198,United Kingdom,4912.28,12,409.36
17596,United Kingdom,4907.32,14,350.52
13523,United Kingdom,4892.02,7,698.86
16986,United Kingdom,4888.75,11,444.43
14825,United Kingdom,4886.28,27,180.97
12688,Israel,4873.81,1,4873.81
12700,France,4867.99,6,811.33
16143,United Kingdom,4866.88,16,304.18
14107,United Kingdom,4853.7,13,373.36
12483,Sweden,4846.87,27,179.51
13562,United Kingdom,4838.18,8,604.77
12449,Belgium,4835.89,6,805.98
16255,United Kingdom,4834.39,19,254.44
13044,United Kingdom,4824.2,13,371.09
15002,United Kingdom,4817.28,9,535.25
13875,United Kingdom,4814.37,14,343.88
17191,United Kingdom,4810.55,16,300.66
15379,United Kingdom,4806.44,9,534.05
13021,United Kingdom,4786.38,24,199.43
14032,United Kingdom,4786.07,25,191.44
13124,United Kingdom,4782.45,4,1195.61
17652,United Kingdom,4737.13,18,263.17
12955,United Kingdom,4734.26,14,338.16
